學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
9,國立中山大學,02151002,音樂學系,D 日,B 學士,165,109
9,國立中山大學,02152003,劇場藝術學系,D 日,B 學士,197,109
9,國立中山大學,02311006,外國語文學系,D 日,B 學士,243,109
9,國立中山大學,02322005,中國文學系,D 日,B 學士,193,109
9,國立中山大學,03141013,社會學系,D 日,B 學士,152,109
9,國立中山大學,04121024,財務管理學系,D 日,B 學士,207,109
9,國立中山大學,04131021,企業管理學系,D 日,B 學士,378,109
9,國立中山大學,04134010,政治經濟學系,D 日,B 學士,206,109
9,國立中山大學,05111033,生物科學系,D 日,B 學士,194,109
9,國立中山大學,05311037,化學系,D 日,B 學士,214,109
9,國立中山大學,05323044,海洋生物科技暨資源學系,D 日,B 學士,148,109
9,國立中山大學,05323047,海洋科學系,D 日,B 學士,131,109
9,國立中山大學,05331038,物理學系,D 日,B 學士,197,109
9,國立中山大學,05411051,應用數學系,D 日,B 學士,206,109
9,國立中山大學,06111055,資訊工程學系,D 日,B 學士,239,109
9,國立中山大學,06131052,資訊管理學系,D 日,B 學士,206,109
9,國立中山大學,07112063,材料與光電科學學系,D 日,B 學士,209,109
9,國立中山大學,07122065,海洋環境及工程學系,D 日,B 學士,182,109
9,國立中山大學,07141053,電機工程學系,D 日,B 學士,474,109
9,國立中山大學,07141054,光電工程學系,D 日,B 學士,177,109
9,國立中山大學,07151061,機械與機電工程學系,D 日,B 學士,443,109
9,國立中山大學,99999071,人文暨科技跨領域學士學位學程,D 日,B 學士,32,109
12,國立臺灣海洋大學,02122005,海洋文創設計產業學士學位學程,D 日,B 學士,120,109
12,國立臺灣海洋大學,04199055,海洋觀光管理學士學位學程,D 日,B 學士,182,109
12,國立臺灣海洋大學,04199056,海洋經營管理學士學位學程,D 日,B 學士,113,109
12,國立臺灣海洋大學,04212010,海洋法政學士學位學程,D 日,B 學士,140,109
12,國立臺灣海洋大學,05121014,生命科學暨生物科技學系,D 日,B 學士,197,109
12,國立臺灣海洋大學,05121018,海洋生物科技學士學位學程,D 日,B 學士,110,109
12,國立臺灣海洋大學,05323020,海洋環境資訊系,D 日,B 學士,169,109
12,國立臺灣海洋大學,06131028,資訊工程學系,D 日,B 學士,488,109
12,國立臺灣海洋大學,07122040,河海工程學系,D 日,B 學士,306,109
12,國立臺灣海洋大學,07122041,海洋工程科技學士學位學程,D 日,B 學士,87,109
12,國立臺灣海洋大學,07141025,電機工程學系,D 日,B 學士,404,109
12,國立臺灣海洋大學,07141027,光電與材料科技學系,D 日,B 學士,123,109
12,國立臺灣海洋大學,07141030,通訊與導航工程學系,D 日,B 學士,212,109
12,國立臺灣海洋大學,07151036,機械與機電工程學系,D 日,B 學士,346,109
12,國立臺灣海洋大學,07163033,系統工程暨造船學系,D 日,B 學士,202,109
12,國立臺灣海洋大學,07163035,輪機工程學系,D 日,B 學士,387,109
12,國立臺灣海洋大學,07163035,輪機工程學系學士後多元專長培力課程專班,P 進,B 學士,73,109
12,國立臺灣海洋大學,07211042,食品科學系,D 日,B 學士,407,109
12,國立臺灣海洋大學,07211042,食品科學系,P 進,B 學士,109,109
12,國立臺灣海洋大學,08311045,環境生物與漁業科學學系,D 日,B 學士,171,109
12,國立臺灣海洋大學,08312046,水產養殖學系,D 日,B 學士,409,109
12,國立臺灣海洋大學,10411050,運輸科學系,D 日,B 學士,382,109
12,國立臺灣海洋大學,10412048,航運管理學系,D 日,B 學士,468,109
