統計期,畢業年,學位,學門,薪資
114年 1月,110年畢業,學士,資訊通訊科技學門,42065.0
114年 1月,111年畢業,學士,資訊通訊科技學門,40850.0
114年 1月,112年畢業,學士,資訊通訊科技學門,38454.0
114年 1月,113年畢業,學士,資訊通訊科技學門,37316.0
114年 7月,109年畢業,學士,資訊通訊科技學門,44766.0
114年 7月,110年畢業,學士,資訊通訊科技學門,43715.0
114年 7月,111年畢業,學士,資訊通訊科技學門,42987.0
114年 7月,112年畢業,學士,資訊通訊科技學門,40503.0
114年 7月,113年畢業,學士,資訊通訊科技學門,38741.0
112年 1月,109年畢業,學士,工程及工程業學門,41312.0
112年 1月,110年畢業,學士,工程及工程業學門,39098.0
112年 1月,111年畢業,學士,工程及工程業學門,35804.0
112年 7月,109年畢業,學士,工程及工程業學門,41378.0
112年 7月,110年畢業,學士,工程及工程業學門,40297.0
112年 7月,111年畢業,學士,工程及工程業學門,37229.0
112年 7月,112年畢業,學士,工程及工程業學門,33825.0
113年 1月,109年畢業,學士,工程及工程業學門,43017.0
113年 1月,110年畢業,學士,工程及工程業學門,42393.0
113年 1月,111年畢業,學士,工程及工程業學門,38741.0
113年 1月,112年畢業,學士,工程及工程業學門,36279.0
113年 7月,109年畢業,學士,工程及工程業學門,44646.0
113年 7月,110年畢業,學士,工程及工程業學門,43560.0
113年 7月,111年畢業,學士,工程及工程業學門,40596.0
113年 7月,112年畢業,學士,工程及工程業學門,37680.0
113年 7月,113年畢業,學士,工程及工程業學門,35939.0
114年 1月,109年畢業,學士,工程及工程業學門,46349.0
114年 1月,110年畢業,學士,工程及工程業學門,45328.0
114年 1月,111年畢業,學士,工程及工程業學門,43216.0
114年 1月,112年畢業,學士,工程及工程業學門,39848.0
114年 1月,113年畢業,學士,工程及工程業學門,38255.0
114年 7月,109年畢業,學士,工程及工程業學門,48270.0
114年 7月,110年畢業,學士,工程及工程業學門,47584.0
114年 7月,111年畢業,學士,工程及工程業學門,45886.0
114年 7月,112年畢業,學士,工程及工程業學門,42041.0
114年 7月,113年畢業,學士,工程及工程業學門,40264.0
112年 1月,109年畢業,學士,製造及加工學門,32405.0
112年 1月,110年畢業,學士,製造及加工學門,31843.0
112年 1月,111年畢業,學士,製造及加工學門,30635.0
112年 7月,109年畢業,學士,製造及加工學門,33282.0
112年 7月,110年畢業,學士,製造及加工學門,32743.0
112年 7月,111年畢業,學士,製造及加工學門,31692.0
112年 7月,112年畢業,學士,製造及加工學門,30116.0
113年 1月,109年畢業,學士,製造及加工學門,34372.0
113年 1月,110年畢業,學士,製造及加工學門,34086.0
113年 1月,111年畢業,學士,製造及加工學門,32948.0
113年 1月,112年畢業,學士,製造及加工學門,31759.0
113年 7月,109年畢業,學士,製造及加工學門,35482.0
113年 7月,110年畢業,學士,製造及加工學門,34897.0
113年 7月,111年畢業,學士,製造及加工學門,33977.0
113年 7月,112年畢業,學士,製造及加工學門,32824.0
113年 7月,113年畢業,學士,製造及加工學門,31819.0
114年 1月,109年畢業,學士,製造及加工學門,36630.0
114年 1月,110年畢業,學士,製造及加工學門,36203.0
114年 1月,111年畢業,學士,製造及加工學門,35466.0
114年 1月,112年畢業,學士,製造及加工學門,34279.0
114年 1月,113年畢業,學士,製造及加工學門,32746.0
114年 7月,109年畢業,學士,製造及加工學門,37529.0
114年 7月,110年畢業,學士,製造及加工學門,37468.0
114年 7月,111年畢業,學士,製造及加工學門,36725.0
114年 7月,112年畢業,學士,製造及加工學門,35386.0
114年 7月,113年畢業,學士,製造及加工學門,34214.0
112年 1月,109年畢業,學士,建築及營建工程學門,37191.0
112年 1月,110年畢業,學士,建築及營建工程學門,35112.0
112年 1月,111年畢業,學士,建築及營建工程學門,34043.0
112年 7月,109年畢業,學士,建築及營建工程學門,38745.0
112年 7月,110年畢業,學士,建築及營建工程學門,36514.0
112年 7月,111年畢業,學士,建築及營建工程學門,35458.0
112年 7月,112年畢業,學士,建築及營建工程學門,34140.0
113年 1月,109年畢業,學士,建築及營建工程學門,40554.0
113年 1月,110年畢業,學士,建築及營建工程學門,38207.0
113年 1月,111年畢業,學士,建築及營建工程學門,37131.0
113年 1月,112年畢業,學士,建築及營建工程學門,35944.0
113年 7月,109年畢業,學士,建築及營建工程學門,42261.0
113年 7月,110年畢業,學士,建築及營建工程學門,39874.0
113年 7月,111年畢業,學士,建築及營建工程學門,38697.0
113年 7月,112年畢業,學士,建築及營建工程學門,37015.0
113年 7月,113年畢業,學士,建築及營建工程學門,36540.0
114年 1月,109年畢業,學士,建築及營建工程學門,43902.0
114年 1月,110年畢業,學士,建築及營建工程學門,41712.0
114年 1月,111年畢業,學士,建築及營建工程學門,40642.0
