學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
113,0007,國立陽明交通大學,09161142,藥學系,D 日,B 學士,177,11,26,18 新竹市,1 一般
113,0007,國立陽明交通大學,09161145,生物藥學研究所,D 日,D 博士,11,0,2,18 新竹市,1 一般
113,0007,國立陽明交通大學,09161145,生物藥學研究所,D 日,M 碩士,43,7,23,18 新竹市,1 一般
113,0007,國立陽明交通大學,09161176,醫藥品法規科學博士學位學程,D 日,D 博士,9,2,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,09171143,傳統醫藥研究所,D 日,D 博士,41,0,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,09171143,傳統醫藥研究所,D 日,M 碩士,25,4,7,18 新竹市,1 一般
113,0007,國立陽明交通大學,09191137,公共衛生研究所,D 日,D 博士,78,0,8,18 新竹市,1 一般
113,0007,國立陽明交通大學,09191137,公共衛生研究所,D 日,M 碩士,87,10,23,18 新竹市,1 一般
113,0007,國立陽明交通大學,09191138,衛生福利研究所,D 日,D 博士,17,0,3,18 新竹市,1 一般
113,0007,國立陽明交通大學,09191138,衛生福利研究所,D 日,M 碩士,43,7,11,18 新竹市,1 一般
113,0007,國立陽明交通大學,09191140,環境與職業衛生研究所,D 日,D 博士,12,0,2,18 新竹市,1 一般
113,0007,國立陽明交通大學,09191140,環境與職業衛生研究所,D 日,M 碩士,38,7,9,18 新竹市,1 一般
113,0007,國立陽明交通大學,09191141,國際衛生碩士學位學程,D 日,M 碩士,28,2,14,18 新竹市,1 一般
113,0007,國立陽明交通大學,09191185,智慧醫療與政策管理產業博士學位學程,D 日,D 博士,4,0,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,09199167,食品安全及健康風險評估研究所,D 日,M 碩士,25,5,16,18 新竹市,1 一般
113,0007,國立陽明交通大學,09211168,跨專業長期照顧與管理碩士學位學程,D 日,M 碩士,51,2,8,18 新竹市,1 一般
113,0007,國立陽明交通大學,10411086,運輸與物流管理學系,D 日,D 博士,22,0,1,18 新竹市,1 一般
113,0007,國立陽明交通大學,10411086,運輸與物流管理學系,D 日,M 碩士,143,0,51,18 新竹市,1 一般
113,0007,國立陽明交通大學,10411086,運輸與物流管理學系,D 日,B 學士,193,16,45,18 新竹市,1 一般
113,0007,國立陽明交通大學,99999096,百川學士學位學程,D 日,B 學士,135,2,22,18 新竹市,1 一般
